index,time_s,q0,q1,q2,q3,q4,q5,force_N,target_contact_count,force_error_N,scheduled_xy_error_m,reference_xy_error_m,scheduled_orientation_error_rad,force_normal_orientation_error_rad
524,1.048,-8.193730724658972e-10,-0.1005929757885091,0.14740234945768713,-0.04690590661791992,2.6415987194847012e-11,0.00723179361296228,5.000231718722546,1,0.00023171872254579284,1.4922839630501785e-10,0.00021012947482390665,3.2083326719091717e-09,0.16739766456989968
525,1.05,-8.209369949336245e-10,-0.10059374293334823,0.14739693527064188,-0.04690003488202691,2.6465134425780065e-11,0.007245720124695642,5.000204702254573,1,0.00020470225457280833,1.363755273950582e-10,0.0002105304721343633,3.2083782126837157e-09,0.16738404765415754
526,1.052,-8.225009174013519e-10,-0.10059451007818734,0.1473915210835966,-0.04689416314613389,2.6514281656713122e-11,0.007259646636429005,5.000176486453902,1,0.00017648645390178075,1.2294665459827184e-10,0.00021093146886880937,3.208423741938797e-09,0.16737043073841554
527,1.054,-8.24064839869079e-10,-0.10059527722302647,0.14738610689655135,-0.04688829141024088,2.6563428887646176e-11,0.007273573148162366,5.0001470712823,1,0.00014707128230018185,1.089414417633087e-10,0.00021133246502690574,3.2084692744178923e-09,0.16735681382267314
528,1.056,-8.256287623368066e-10,-0.10059604436786558,0.1473806927095061,-0.04688241967434787,2.6612576118579233e-11,0.00728749965989573,5.000116456747576,1,0.00011645674757598812,9.435959993416522e-11,0.00021173346060835829,3.2085147910387967e-09,0.16734319690693183
529,1.058,-8.271926848045337e-10,-0.1005968115127047,0.14737527852246085,-0.04687654793845485,2.6661723349512286e-11,0.007301426171629093,5.000084642816446,1,8.464281644560145e-05,7.920080890626861e-11,0.00021213445561283663,3.208560323891482e-09,0.16732957999118905
530,1.06,-8.287566072722611e-10,-0.10059757865754383,0.14736986433541557,-0.046870676202561835,2.6710870580445343e-11,0.007315352683362455,5.000051629478552,1,5.162947855197331e-05,6.346474038364415e-11,0.00021253545003999556,3.208605906800551e-09,0.16731596307544766
531,1.062,-8.303205297399883e-10,-0.10059834580238294,0.14736445014837032,-0.046864804466668825,2.6760017811378393e-11,0.007329279195095817,5.000017416730109,1,1.7416730108799072e-05,4.7151240571880485e-11,0.00021293644388962942,3.2086513923197493e-09,0.1673023461597051
532,1.064,-8.318844857228446e-10,-0.10059906766792011,0.14735897868284142,-0.046858935911084164,2.680900816130265e-11,0.007343220886317752,5.000017722103644,1,1.7722103644146614e-05,4.753827949882932e-11,0.00021333745444002304,3.2086984254877196e-09,0.16728872924396482
533,1.066,-8.33448474697156e-10,-0.1005997449616444,0.14735345083380516,-0.04685307048611554,2.685784408148386e-11,0.007357177519848746,5.000051986414684,1,5.198641468417975e-05,6.435179431653709e-11,0.00021373848141710303,3.2087468978718706e-09,0.16727511232822567
534,1.068,-8.350124636714676e-10,-0.10060042225536868,0.14734792298476887,-0.04684720506114692,2.6906680001665076e-11,0.007371134153379743,5.000085049776342,1,8.504977634160582e-05,8.058172777369539e-11,0.0002141395078105093,3.2087953899609135e-09,0.16726149541248647
